iter	Passed	Remaining
379	4120	6723
380	4131	6712
381	4141	6700
382	4152	6690
383	4163	6679
384	4173	6666
385	4184	6656
386	4193	6643
387	4204	6632
388	4214	6619
389	4225	6609
390	4235	6596
391	4248	6589
392	4259	6578
393	4270	6567
394	4281	6558
395	4292	6547
396	4305	6539
397	4315	6526
398	4328	6519
399	4338	6507
400	4351	6500
401	4363	6490
402	4374	6479
403	4384	6468
404	4395	6457
405	4406	6447
406	4416	6435
407	4431	6429
408	4440	6416
409	4454	6410
410	4464	6398
411	4476	6389
412	4490	6382
413	4501	6371
414	4514	6364
415	4525	6352
416	4538	6345
417	4550	6335
418	4560	6323
419	4571	6312
420	4580	6299
421	4594	6292
422	4603	6278
423	4615	6270
424	4625	6258
425	4638	6249
426	4648	6238
427	4660	6228
428	4673	6220
429	4683	6208
430	4696	6199
431	4705	6187
432	4718	6179
433	4729	6167
434	4741	6157
435	4755	6151
436	4764	6138
437	4780	6133
438	4790	6121
439	4801	6111
440	4813	6101
441	4825	6092
442	4839	6084
443	4848	6071
444	4862	6064
445	4872	6052
446	4884	6042
447	4896	6033
448	4906	6021
449	4918	6011
450	4928	5999
451	4941	5990
452	4951	5978
453	4962	5968
454	4972	5956
455	4983	5944
456	4994	5933
457	5004	5921
458	5014	5910
459	5025	5898
460	5037	5890
461	5049	5880
462	5061	5870
463	5072	5859
464	5082	5847
465	5093	5836
466	5102	5824
467	5113	5812
468	5123	5800
469	5134	5789
470	5144	5778
471	5155	5767
472	5166	5755
473	5176	5744
474	5187	5733
475	5200	5724
476	5211	5713
477	5221	5702
478	5232	5690
479	5242	5679
480	5253	5668
481	5263	5656
482	5273	5644
483	5284	5633
484	5294	5621
485	5305	5611
486	5316	5599
487	5326	5588
488	5336	5576
489	5347	5565
490	5357	5554
491	5368	5542
492	5378	5530
493	5388	5519
494	5399	5508
495	5409	5497
496	5420	5485
497	5430	5474
498	5441	5462
499	5451	5451
500	5461	5439
501	5471	5428
502	5481	5416
503	5491	5404
504	5502	5393
505	5512	5381
506	5522	5370
507	5532	5358
508	5542	5346
509	5553	5335
510	5563	5323
511	5573	5312
512	5584	5301
513	5595	5290
514	5605	5278
515	5615	5267
516	5626	5256
517	5636	5245
518	5647	5233
519	5657	5222
520	5667	5210
521	5677	5199
522	5687	5187
523	5697	5175
524	5708	5164
525	5718	5152
526	5728	5141
527	5738	5129
528	5749	5118
529	5758	5106
530	5769	5095
531	5779	5084
532	5790	5073
533	5800	5061
534	5810	5050
535	5821	5039
536	5832	5028
537	5842	5017
538	5853	5006
539	5863	4994
540	5873	4983
541	5883	4971
542	5894	4960
543	5904	4949
544	5914	4938
545	5925	4927
546	5936	4916
547	5946	4904
548	5957	4894
549	5967	4882
550	5977	4871
551	5988	4859
552	5998	4848
553	6009	4837
554	6019	4826
555	6029	4815
556	6040	4803
557	6050	4792
558	6060	4781
559	6070	4770
560	6081	4759
561	6091	4747
562	6102	4736
563	6113	4725
564	6123	4714
565	6133	4703
566	6143	4691
567	6154	4680
568	6164	4669
569	6174	4658
570	6184	4646
571	6195	4635
572	6206	4624
573	6216	4613
574	6226	4602
575	6237	4591
576	6247	4580
577	6257	4568
578	6267	4557
579	6277	4545
580	6287	4534
581	6298	4523
582	6308	4512
583	6319	4501
584	6328	4489
585	6339	4478
586	6349	4467
587	6359	4456
588	6369	4444
589	6380	4433
590	6390	4422
591	6401	4412
592	6412	4401
593	6422	4389
594	6432	4378
595	6443	4367
596	6453	4356
597	6464	4345
598	6475	4335
599	6486	4324
600	6496	4313
601	6509	4303
602	6521	4293
603	6532	4282
604	6546	4274
605	6557	4263
606	6567	4252
607	6579	4242
608	6589	4230
609	6603	4221
610	6613	4210
611	6625	4200
612	6636	4189
613	6646	4178
614	6658	4168
615	6668	4157
616	6680	4146
617	6691	4135
618	6703	4126
619	6712	4114
620	6724	4104
621	6734	4092
622	6747	4083
623	6757	4071
624	6771	4062
625	6781	4051
626	6794	4042
627	6806	4031
628	6817	4020
629	6827	4009
630	6838	3998
631	6849	3988
632	6859	3977
633	6871	3966
634	6882	3955
635	6895	3946
636	6906	3935
637	6917	3925
638	6930	3915
639	6939	3903
640	6952	3893
641	6962	3882
642	6975	3872
643	6986	3861
644	6999	3852
645	7010	3841
646	7021	3831
647	7032	3820
648	7042	3808
649	7054	3798
650	7065	3787
651	7077	3777
652	7087	3766
653	7100	3756
654	7111	3745
655	7123	3735
656	7136	3725
657	7147	3714
658	7159	3704
659	7169	3693
660	7183	3684
661	7195	3673
662	7207	3663
663	7221	3654
664	7231	3642
665	7243	3632
666	7253	3621
667	7266	3611
668	7277	3600
669	7287	3589
670	7300	3579
671	7310	3568
672	7323	3558
673	7332	3546
674	7344	3536
675	7355	3525
676	7366	3514
677	7377	3503
678	7388	3492
679	7398	3481
680	7410	3471
681	7422	3461
682	7433	3449
683	7446	3440
684	7457	3429
685	7468	3418
686	7479	3407
687	7490	3396
688	7503	3386
689	7513	3375
690	7525	3365
691	7535	3353
692	7546	3342
693	7557	3332
694	7568	3321
695	7578	3310
696	7589	3299
697	7601	3288
698	7610	3277
699	7620	3265
700	7630	3254
701	7640	3243
702	7651	3232
703	7661	3221
704	7671	3210
705	7681	3198
706	7691	3187
707	7701	3176
708	7712	3165
709	7722	3154
710	7732	3143
711	7743	3132
712	7753	3121
713	7764	3110
714	7774	3099
715	7785	3088
716	7795	3077
717	7807	3066
718	7817	3055
719	7831	3045
720	7842	3034
721	7854	3024
722	7865	3013
723	7878	3003
724	7891	2993
725	7901	2982
726	7915	2972
727	7925	2961
728	7938	2950
729	7950	2940
730	7959	2929
731	7971	2918
732	7981	2907
733	7995	2897
734	8005	2886
735	8017	2875
736	8028	2864
737	8039	2854
738	8049	2843
739	8060	2831
740	8074	2822
741	8084	2811
742	8098	2801
743	8107	2789
744	8119	2779
745	8130	2768
746	8142	2757
747	8156	2747
748	8166	2736
749	8179	2726
750	8190	2715
751	8202	2705
752	8212	2694
753	8223	2683
754	8235	2672
755	8245	2661
756	8259	2651
757	8269	2639
758	8281	2629
759	8291	2618
760	8303	2607
761	8314	2596
762	8326	2586
763	8337	2575
764	8347	2564
765	8361	2554
766	8371	2543
767	8384	2532
768	8395	2521
769	8405	2510
770	8416	2499
771	8427	2488
772	8439	2478
773	8450	2467
774	8461	2456
775	8473	2445
776	8486	2435
777	8497	2424
778	8509	2414
779	8520	2403
780	8535	2393
781	8548	2382
782	8558	2371
783	8569	2361
784	8580	2350
785	8592	2339
786	8603	2328
787	8613	2317
788	8627	2307
789	8637	2295
790	8649	2285
791	8658	2274
792	8669	2263
793	8680	2252
794	8692	2241
795	8704	2230
796	8714	2219
797	8727	2209
798	8738	2198
799	8750	2187
800	8760	2176
801	8773	2165
802	8783	2154
803	8795	2144
804	8807	2133
805	8817	2122
806	8830	2111
807	8840	2100
808	8852	2090
809	8863	2079
810	8874	2068
811	8885	2057
812	8896	2046
813	8909	2035
814	8919	2024
815	8931	2014
816	8942	2003
817	8954	1992
818	8964	1981
819	8976	1970
820	8989	1959
821	8999	1948
822	9013	1938
823	9022	1927
824	9035	1916
825	9045	1905
826	9057	1894
827	9068	1883
828	9079	1872
829	9091	1862
830	9101	1851
831	9114	1840
832	9124	1829
833	9137	1818
834	9147	1807
835	9159	1796
836	9170	1785
837	9181	1774
838	9193	1764
839	9203	1753
840	9216	1742
841	9226	1731
842	9239	1720
843	9250	1709
844	9261	1698
845	9272	1687
846	9283	1676
847	9295	1666
848	9305	1655
849	9319	1644
850	9328	1633
851	9340	1622
852	9351	1611
853	9362	1600
854	9373	1589
855	9384	1578
856	9397	1568
857	9406	1556
858	9419	1546
859	9429	1535
860	9442	1524
861	9453	1513
862	9465	1502
863	9478	1491
864	9487	1480
865	9500	1470
866	9510	1458
867	9523	1448
868	9533	1437
869	9545	1426
870	9556	1415
871	9567	1404
872	9580	1393
873	9590	1382
874	9602	1371
875	9613	1360
876	9624	1349
877	9634	1338
878	9647	1328
879	9658	1317
880	9670	1306
881	9681	1295
882	9691	1284
883	9703	1273
884	9713	1262
885	9725	1251
886	9735	1240
887	9748	1229
888	9757	1218
889	9769	1207
890	9779	1196
891	9792	1185
892	9803	1174
893	9814	1163
894	9826	1152
895	9835	1141
896	9847	1130
897	9857	1119
898	9868	1108
899	9877	1097
900	9890	1086
901	9900	1075
902	9911	1064
903	9921	1053
904	9933	1042
905	9944	1031
906	9955	1020
907	9967	1009
908	9976	998
909	9990	988
910	10000	977
911	10012	966
912	10022	955
913	10034	944
914	10045	933
915	10056	922
916	10068	911
917	10079	900
918	10092	889
919	10102	878
920	10114	867
921	10124	856
922	10137	845
923	10149	834
924	10172	824
925	10186	814
926	10204	803
927	10220	792
928	10237	782
929	10246	771
930	10259	760
931	10271	749
932	10284	738
933	10297	727
934	10306	716
935	10318	705
936	10329	694
937	10342	683
938	10352	672
939	10364	661
940	10376	650
941	10386	639
942	10400	628
943	10410	617
944	10423	606
945	10434	595
946	10444	584
947	10454	573
948	10465	562
949	10476	551
950	10487	540
951	10501	529
952	10510	518
953	10524	507
954	10534	496
955	10547	485
956	10559	474
957	10570	463
958	10583	452
959	10593	441
960	10605	430
961	10616	419
962	10627	408
963	10639	397
964	10650	386
965	10663	375
966	10673	364
967	10685	353
968	10695	342
969	10706	331
970	10716	320
971	10728	309
972	10739	298
973	10749	286
974	10762	275
975	10772	264
976	10787	253
977	10796	242
978	10809	231
979	10818	220
980	10831	209
981	10842	198
982	10853	187
983	10866	176
984	10876	165
985	10889	154
986	10898	143
987	10912	132
988	10923	121
989	10934	110
990	10946	99
991	10956	88
992	10970	77
993	10980	66
994	10992	55
995	11004	44
996	11015	33
997	11027	22
998	11037	11
999	11049	0
